Product (per 100g),Total Energy (kcal),Protein (g),Carbs (g),Sugars (g),Fiber (g),Fat (g),Sodium (mg)
Cabbage_ Green (Brassica Oleracea Var. Capitata F. Alba),21.51,1.36,3.25,1.00,2.76,0.12,14.98
Cabbage_ Violet (Brassica Oleracea Var. Capitata F. Rubra),23.18,1.39,3.54,0.80,2.21,0.21,24.00
Broccoli_ Green_ Raw,34.00,4.30,3.20,1.90,4.00,0.60,9.00
Yogurt_ Whole Milk_ Plain,79.00,5.70,7.80,7.80,0.00,3.00,80.00
Cucumber_ Green_ Elongate (Cucumis Sativus),19.60,0.71,3.48,0.27,2.14,0.16,6.33
Cucumber_ Green_ Short (Cucumis Sativus),17.45,0.83,2.82,0.21,2.13,0.18,6.11
Coffee_ Powder_ Instant,75.00,14.60,4.50,0.00,0.00,0.00,81.00
Tea_ Black_ Infusion_ Average,0.00,0.10,0.00,0.00,0.00,0.00,0.00
Tea_ Green_ Infusion,0.00,0.10,0.00,0.00,0.00,0.00,1.00
Tofu_ Soya Bean_ Steamed,73.00,8.10,0.70,0.30,0.00,4.20,4.00
Bread_ Brown_ Average,207.00,7.90,42.10,3.40,5.00,2.00,400.00
Bread_ Brown_ Toasted,266.00,10.10,54.00,4.40,6.40,2.60,513.00
Bread_ White_ Average,236.00,8.70,48.70,3.00,2.90,2.10,400.00
Caramel Custard (Baked),122.70,5.11,14.95,14.92,0.00,5.01,44.78
